
Муниципальная собственность, значение показателя за год, Наличие основных фондов на конец года по полной учетной стоимости по коммерческим организациям муниципальной формы собственности, тысяча рублей
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Городской округ, городской округ с внутригородским делением;142970;109146;106460;44339;55021;67481;75787;76492;61156;62657;;;;93461;84741;84337;
Информационное, компьютерное и телекоммуникационное оборудование;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;2025;2025;1588;1220;2335;;6968;6586;7861;5678;5671;
Вычислительная техника и оргтехника;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;1800;1800;1588;1220;2335;;;;;;;
Прочие машины и оборудование;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;49308;86098;;;;;
Машины, оборудование, транспортные средства;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;92334;130615;144048;;;;
Транспортные средства;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;10607;6549;65468;4024;51638;53134;3679;4140;14885;18267;;37549;52861;52861;54445;;
Производственный и хозяйственный инвентарь;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;2434;2430;2288;2265;2236;;;;;;;
Мебель;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;387;;;;;;;;;;;
Другие не перечисленные выше виды основных средств и фондов;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;552;552;552;;712;;;;;;;
Прочие машины и оборудование, включая хозяйственный инвентарь, и другие объекты;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;84601;85600;79063;78666;
Инта (до 1 января 2025 года);;;;;;;;;;;;;;;;;
Все основные фонды;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;57889;89781;80188;70718;73159;139735;201271;204482;202687;204918;205139;203569;109966;199373;191979;196479;
Здания;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;30946;31660;30445;23118;24156;42999;103365;103689;102185;102185;103935;103883;100936;100936;95800;98625;
Сооружения;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;26;36579;36579;36106;36080;82744;;;83520;85223;83559;83531;;83524;83524;;
Машины и оборудование;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;8311;9005;8352;7327;9464;10838;11732;13793;13018;13561;;;;13128;10870;12559;
Информационное, компьютерное и телекоммуникационное оборудование;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;2614;2603;2830;2571;2968;3826;3813;3986;10928;2754;3190;
Вычислительная техника и оргтехника;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;1651;1640;1848;1850;2146;;;;;;;
Средства радиосвязи, радиовещения и телевидения;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;112;;;;;;;;;;;
Прочие машины и оборудование;;;;;;;;;;;;;;;;;
