
значение показателя за год
;2016;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;28;27,3;27,31;27,1;27,3;27,5;27,3;27,3;27,3;0,6;28,6;26,4;26,5;26,5;26,5;;;
Койгородок;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;71;72,05;75,13;76,13;77,22;75,81;77,59;80,9;78,3;79,08;84,7;85,6;87,1;88;93,8;;;
Койдин;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;31,6;31,6;31,6;31,6;31,4;31,7;32,8;32,8;33,6;33,6;33,7;33,7;33,8;34,3;34,1;;;
Ком ( до 1 января 2020 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;7,2;6,52;6,14;4,6;4,6;6,1;4,6;4,6;6,1;6,1;2,1;2,1;2,1;2,1;;;;
Кузьёль;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;7,2;7,2;7,2;7,2;7,2;6,7;7,2;7,2;6,7;6,7;7,1;6,7;7,1;7,1;9,2;;;
Нижний Турунъю (до 1 января 2017г);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;4,8;4,8;4,63;4,63;4,63;4,75;5,7;5,7;5,7;0,6;;;;;;;;
Нючпас (до 1 января 2023 г);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;7;7,3;7,36;7,36;7,2;7,2;7,2;7,2;8,2;8,2;8,2;7,7;7,7;7,7;7,7;;;
Подзь;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;33,4;32,3;32,3;32,3;32,3;37;32,3;32,3;36,8;36,8;35;35;32;32;32,9;;;
Ужга;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;21,3;21,13;21,13;20,5;20,5;20,5;20,5;20,2;20,1;20,4;20,2;20,2;20,2;20,2;20,2;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;512,9;461,67;562,56;596,9;595,7;595,4;591,5;591,5;592,6;592,6;592,6;625;623,6;636,8;642,9;655,3;661,97;
Богородск;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;42,4;42,6;42,86;42,5;42,3;42,12;42,3;41,8;41,5;41,9;42;42;43;43;42,2;;;
Большелуг;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;23,8;23,91;24,03;32,61;32,53;32,53;32,7;32,7;32,5;32,64;27,4;31,6;31,9;31,9;31,5;;;
Вомын;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;2,7;17,8;17,8;17,9;17,6;17,7;17,8;17,9;17,9;17,9;17,3;19,3;19,3;19,3;19,5;;;
Додзь;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;22,1;25,1;26,4;26,4;26,55;26,21;26,4;26,2;26,9;28,2;29,1;31,3;34,8;26,2;26,6;;;
Керес;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;15,4;15,4;24,2;24,2;24,2;24,2;24,2;24,2;23,4;23,4;23,4;23,4;21,6;17;17,2;;;
Корткерос;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;52,1;53,1;109,7;110,3;110,3;111,2;111,9;114,2;115,6;120,1;134,7;134,1;135,6;133,8;133,8;;;
Намск;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;12,6;12,6;12,34;12,15;10,92;11,92;11,8;11,8;11,6;11,7;11,7;11,2;11,3;4,3;4,3;;;
Маджа;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;16,1;;16,24;16,32;16,43;16,43;16,4;16,6;16,6;16,1;17,3;17,3;17,4;17,3;17,9;;;
Мордино;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;27,4;42,4;44,1;44,1;43,8;43524;43524;43,8;43,8;41,2;43,1;43,1;41,3;15,1;13,2;;;
Нёбдино;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;16,6;17,68;27,49;27,59;27,69;27,7;28;28,4;22,1;22,5;22,7;22,9;23,3;23,9;23,7;;;
Нившера;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;45,3;44,8;44,9;53,7;53,7;53,8;53,8;53,9;50,2;50,1;50,1;50;49,8;46,9;47,3;;;
Пезмег;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;36,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;32,5;32,5;33,3;34,5;33,5;;;
Подъельск;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;17,8;17,8;16,57;17,26;17,15;17,15;17,22;17,22;17,34;17,6;18;18;18,7;16,4;16,4;;;
Подтыбок;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;;26,9;27,26;27,2;26,7;26,73;26,73;26,7;26,7;26,7;26,6;26,5;26,1;8,8;8,8;;;
Позтыкерес;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;6,7;5,78;10,7;10,7;10,5;10,25;10,25;10,25;10,25;10,25;10,2;10,2;10,2;6,7;6,7;;;
Приозёрный;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;22,9;22,9;25,17;25,17;24,56;24,56;24,56;24,56;26,4;27,9;29,2;31,3;29,8;18,5;18,5;;;
Сторожевск;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;47,5;55,2;55,1;55,6;55,6;55,6;55,4;54,2;54;54;56,7;58,1;56,8;38,3;38,7;;;
Усть-Лэкчим;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Сельское поселение;12,4;8,9;8,9;8,9;8,9;22,95;16,2;16,2;16,2;19,5;19,5;22,2;17,7;20,2;20,2;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Муниципальный район;1580,7;1577,6;1540,9;1526,7;1520,8;1526;1495,31;1524,3;1524,3;1385,6;1718,8;1718,8;1516,2;1432,5;1439,7;1451,02;1451,02;
Печора;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;1155,2;1153;1124,44;1110,74;1114,21;1141,86;1126,5;1155,49;1167,99;1016,79;1431,7;1384,72;1182,2;1098,5;1105,7;;;
Изъяю (до 1 января 2013 года);;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;55,4;55;55;54,5;54,5;;;;;;;;;;;;;
Кожва;;;;;;;;;;;;;;;;;;
Общая площадь жилых помещений, тыс. кв.м, тысяча метров квадратных;;;;;;;;;;;;;;;;;;
Городское поселение;93,8;95,1;95,1;95,1;95,1;161,47;161,47;161,47;161,47;161,47;161,5;161,5;161,5;161,5;161,5;;;
Путеец;;;;;;;;;;;;;;;;;;
