
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Сельское поселение;5;2;2;2;2;2;2;;;;;;
Межадор;;;;;;;;;;;;;
Сельское поселение;3;1;1;1;1;1;1;;;;;;
Палауз;;;;;;;;;;;;;
Сельское поселение;2;1;1;1;1;1;1;;;;;;
Пыёлдино;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;;;;;0;
Чухлэм;;;;;;;;;;;;;
Сельское поселение;4;2;2;2;2;2;2;;;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;
Муниципальный район;17;15;15;14;14;14;14;14;1;1;1;1;
Троицко-Печорск;;;;;;;;;;;;;
Городское поселение;3;1;1;1;1;1;1;1;1;1;1;;
Приуральский;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;0;;
Знаменка;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;;;;
Комсомольск-на-Печоре;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;;;;;
Митрофан-Дикост;;;;;;;;;;;;;
Сельское поселение;3;3;3;2;2;2;2;2;2;1;;;
Мылва;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;1;;;
Нижняя Омра;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;;;;;
Покча;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;2;;;;
Усть-Илыч;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;1;;1;;;
Якша;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;
Муниципальный район;32;27;23;24;24;24;25;14;14;17;19;11;
Благоево;;;;;;;;;;;;;
Городское поселение;4;3;2;2;2;2;2;2;2;2;2;2;
Междуреченск;;;;;;;;;;;;;
Городское поселение;2;2;2;2;2;2;2;2;2;1;1;1;
Усогорск;;;;;;;;;;;;;
Городское поселение;2;2;2;2;2;2;2;2;2;2;2;2;
Буткан;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;;;;
Важгорт;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;1;1;1;1;1;
Глотово;;;;;;;;;;;;;
Сельское поселение;3;3;1;1;1;1;2;2;1;1;1;1;
Ёртом (до 1 января 2018г);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;1;1;1;
Кослан;;;;;;;;;;;;;
Сельское поселение;4;2;2;3;3;3;3;3;1;1;1;1;
Большая Пучкома;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;1;1;1;1;1;
Большая Пысса;;;;;;;;;;;;;
Сельское поселение;3;3;2;2;2;2;2;1;2;1;1;;
Чернутьево;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;2;2;;;
Чим;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;1;1;1;
Чупрово;;;;;;;;;;;;;
Сельское поселение;3;3;3;3;3;3;3;3;3;3;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;
Муниципальный район;35;22;22;22;22;22;22;22;23;23;22;22;
Микунь;;;;;;;;;;;;;
Городское поселение;3;1;1;1;1;1;1;1;1;1;1;1;
Жешарт;;;;;;;;;;;;;
Городское поселение;5;2;2;2;2;2;2;2;2;2;2;2;
Айкино;;;;;;;;;;;;;
