
значение показателя за год
;1296;1071;1859;2034;1818;1805;1134;980;643;910;869;;;;;784;
Северные олени;;;;;;;;;;;;;;;;;;
;;;;;;;;;;3;;;;;;;
Овцы и  козы;;;;;;;;;;;;;;;;;;
;878;736;640;527;471;487;649;589;376;422;437;448;505;402;301;285;
Производство продуктов животноводства, тонна;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Скот и птица на убой (в живом весе);;;;;;;;;;;;169;;134;132,37;137,04;
Скот и птица в живой массе;578;474;407;362;328;282;274;222;186;216;217;;;;;;
Молоко;2253;2597;2248;2264;2464;2323;2230;1997;1972;2343;2355;2272;;2391;2493,5;2409,08;
Яйца, тысяча штук;173;126;227;274;292;222;262;232;332;421;508;389;;132;128,85;96,95;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Поголовье скота и птицы на конец года, голова;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Кролики;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;303;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Продукция сельского хозяйства (в фактически действовавших ценах), тысяча рублей;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;71579;79172;94410;118396;108664;114173;118136;124651;123733;110997;122504;129339;142078;202028;162821;169535;
Продукция растениеводства (в фактически действовавших ценах), тысяча рублей;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;31868;34723;44652;60519;43084;55856;53374;52522;49720;28868;49488;46089;56458;55310;58790;58830;
Продукция животноводства (в фактически действовавших ценах), тысяча рублей;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
