
значение показателя за год
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Межег;;;;;;;;;14,4;13,1;6;17;12,6;8;11;6,3;
Студенец;;;;;;;;;18,2;17;9,7;8;16,5;14,8;5,7;8,7;
Усть-Вымь;;;;;;;;;16,4;12,1;10,2;5,8;7,1;9,6;5,9;9,6;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;17,2;18,9;17,8;19,2;22,2;21,8;22,6;16,8;19,6;17,3;13,6;13,5;13,1;11,6;9,9;10,9;
Сельское поселение;;;;;;;;;;;;;;;;;;
Аныб (до 1 января 2018г);;;;;;;;;18,1;;;;;;;;
Вольдино;;;;;;;;;23,8;15,8;5,7;12,7;12,9;6;8,7;2,5;
Нижний Воч;;;;;;;;;28,9;25,7;24;22,1;25,4;15,7;5,4;20,3;
Диасёръя;;;;;;;;;21,1;12;12,3;5;25,3;10,2;4,9;10;
Деревянск;;;;;;;;;22;13,5;11,3;6,8;8,8;14,7;8,4;8,5;
Дзёль (до 1 января 2020 года);;;;;;;;;25;26,1;14,4;0;;;;;
Дон;;;;;;;;;21,2;19,9;14,3;24,9;22,2;13,4;9,6;18,2;
Кебанъёль;;;;;;20,5;26,2;15,1;16,5;17;12;12,2;7,2;7,4;10,6;7,8;
Керчомъя;;;;;;;;;25;29,4;18,2;22,3;13,8;10,3;12,3;7,1;
Кужба;;;;;;24,2;23,4;15,9;16,1;14,2;21,4;17,5;13,5;13,7;8;14,3;
Мыёлдино;;;;;;;;;7,8;13,9;;12,1;25;23,3;6,8;17,7;
Носим (до 1 января 2018г);;;;;;;;;25,5;;;;;;;;
Парч;;;;;;;;;21,4;25,3;29,4;8,4;12,6;12,7;;5,3;
Пожег;;;;;;22,7;23;13,5;17,5;14,2;16;10,5;14,5;10,8;7,2;8,9;
Помоздино;;;;;;19;26,8;16,8;19,7;15,1;11,2;12;13,1;8,3;11,8;9,9;
Зимстан;;;;;;19,6;24,4;9,5;16,7;11,7;14,6;12;10,4;8,8;9,7;6,9;
Руч;;;;;;;;;23,8;11,8;12;16,1;6,4;11,9;12,4;19,9;
Тимшер;;;;;;20,7;16,7;11;15,4;13,3;16,5;15,2;11,9;11,4;9,3;12,9;
Усть-Кулом;;;;;;16,4;20,1;19,9;22,1;16;13,8;12,6;14,1;14,6;9,1;11,7;
Усть-Нем;;;;;;;;;14,8;15,3;12,1;8,7;8,8;14,4;5,2;7,1;
Югыдъяг;;;;;;28,9;25,6;17,1;16,2;22,1;10,9;14,6;10,4;11,1;17,4;12,1;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;15,7;14,1;15,5;16,1;16,9;15,1;15,6;15;13,5;13,7;10,9;11,3;10,6;10,4;8,9;11,4;
Сельское поселение;;;;;;;;;;;;;;;;;;
Среднее Бугаево;;;;;;;;;9,9;13,8;25,6;7,7;15,7;;10,8;11,3;
Ёрмица;;;;;;;;;12,5;9,6;3,4;7,1;3,6;11,4;9,1;9,1;
Коровий Ручей;;;;;;13,5;15,2;11,7;14,3;7,8;13;5,9;8,1;14,5;10,4;13,4;
Нерица;;;;;;;;;32,6;9,2;18,3;4,6;14,3;9,8;6,2;20,1;
Новый Бор;;;;;;;;;10,6;11;16,8;5,7;11,6;8,9;6,1;6,2;
Окунев Нос;;;;;;;;;13;9,5;11,7;9,8;2;7,9;8,3;8,4;
Замежная;;;;;;12,3;18,2;13,7;12,6;15;8,3;16,1;16,4;12;9,6;10,7;
Уег;;;;;;;;;19,1;6,8;7,1;21,6;7,6;16,4;;;
Усть-Цильма;;;;;;16,6;15,8;19,2;14,4;17,4;10;13,5;11,7;11,1;9,3;13,3;
Хабариха;;;;;;;;;17,2;11,7;11,8;8,7;;;6,2;6,5;
Трусово;;;;;;12,6;13,8;5,6;8,2;11;8,7;9;9,1;6,6;8,1;8,4;
Городские округа Республики Коми;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;;;;;;
Сыктывкар;11,8;12,4;13;12,5;13,3;13,6;13,4;14,5;14;11,9;10,4;9,6;9,6;9,3;9;9,2;
Воркута (до 1 января 2025 года);10,6;11,7;11,3;11,8;13,3;13,5;13,6;13,1;10,9;10,6;10,5;8,6;8,7;8,3;7,5;7,6;
Вуктыл (до 1 января 2024 года);;;;;;;;;;11,6;9,3;7,8;7,9;8,8;7,2;6,5;
Инта (до 1 января 2025 года);10,7;10,5;11,2;11,1;11,5;11;10,6;11;9,4;9;8,5;7;5,8;6;6,7;6,3;
Усинск (до 1 января 2024 года);13,2;14,1;14,1;14,7;14,5;15,4;14,8;14,4;14;12,3;11,4;10,6;10;9,4;11;10,3;
Ухта (до 1 марта 2024 года);11,9;11,3;11,9;11;11,6;11,8;12,1;11,9;11,6;10,2;8,8;9,1;8,3;8,1;8,5;8,5;
Общий коэффициент смертности, промилле;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);15,1;14,5;14;12,6;10,7;12,8;12,8;13,5;15,3;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;
Вуктыл (до 1 января 2017 года);13,3;12,1;11;11,3;9,2;10,9;10,1;11,9;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;
Дутово (до 1 января 2017 года);;;;;;27,8;30,4;25,4;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;18,6;18,7;20,3;18,8;16,5;14,1;16;14,9;16,2;15,9;15,6;16;17,2;19,2;16,3;17,9;
Сельское поселение;;;;;;;;;;;;;;;;;;
Брыкаланск;;;;;;;;;16,1;8,7;17,2;18,9;23,4;31;22,2;26,7;
Ижма;;;;;;8,7;15,2;9,8;12,7;13,7;12,5;8,5;11;14,3;11,7;10,9;
Том;;;;;;11,7;24;18,3;18;22,6;15,2;23,8;19,7;21,9;24;26,7;
Кельчиюр;;;;;;13,3;14,7;16,1;14,7;14,7;16,8;21,3;12,2;19,6;10;18,7;
Кипиево;;;;;;;;;18,8;19,4;24,3;12,5;20,9;25,4;23,7;18;
Краснобор;;;;;;15,6;18,3;12,9;18,6;13,2;15,7;15,8;16,4;18,9;17,4;19,2;
Мохча;;;;;;16,8;13,7;18,8;14,7;16,5;20,7;12,5;22;28,6;17,9;21,1;
Няшабож;;;;;;;;;16,7;25,5;20,8;26,7;27,3;18,1;17,3;26,5;
Сизябск;;;;;;17,3;11,1;13,5;16,5;16,2;13,3;18,8;17,9;15,5;15,6;16;
Щельяюр;;;;;;15,4;15,7;17,3;20;17,6;14;19,9;20,5;17,8;19,9;20,2;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);16,7;17,1;17;15,9;14,4;14,5;15,8;13,4;16,1;15,1;13,6;15;15,4;16,9;17,7;16,5;
Городское поселение;;;;;;;;;;;;;;;;;;
Емва;;;;;;15,9;15,5;13,9;15;15,3;14,9;14,9;15,7;16,9;16,5;16,6;
Синдор;;;;;;6,1;6,7;7,3;9,2;8,4;5,7;15,6;7,6;11,3;13,1;8,9;
Сельское поселение;;;;;;;;;;;;;;;;;;
Иоссер;;;;;;;;;35;42,3;16,9;23,4;24,2;40;13,5;14;
Мещура;;;;;;;;;27,8;16,5;16,9;16,9;38,1;50;62,9;39,4;
Серёгово;;;;;;;;;38,5;20,2;16;16,3;18;32,2;31;23,6;
Тракт;;;;;;13,7;19,6;17;21,5;14,4;14,9;10,5;15,9;16,4;38,6;29,9;
Туръя;;;;;;;;;9,3;22,5;46,9;43,7;30,2;43;14,8;38,2;
Чиньяворык;;;;;;8,6;6,2;4,4;8,6;11,7;2,9;10,8;6,9;5;16,8;8,5;
Шошка.;;;;;;;;;34,5;22,2;14,4;24,5;44,7;19,9;17,6;28,9;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;19,4;15,9;17,1;18,3;18,9;15,2;14,2;18,4;17,7;13,6;16;16,2;16,2;21,4;16,3;13;
Сельское поселение;;;;;;;;;;;;;;;;;;
Грива;;;;;;;;;15,2;15,6;15,8;25,4;18,7;12,5;10;12,6;
Кажым;;;;;;;;;17,2;16,5;16,7;19,5;20;16,7;17,8;8;
Койгородок;;;;;;14,6;10,1;15;15;10,7;14,9;10,7;10,7;18,4;12,2;11,9;
Койдин;;;;;;12;13,6;16,9;12,4;10,2;7,1;8,8;12,9;18,7;22,8;13,9;
Ком ( до 1 января 2020 года);;;;;;;;;;;;0;;;;;
Кузьёль;;;;;;;;;28,8;21,7;22,5;42,9;41,2;50;29,7;20,3;
Нючпас (до 1 января 2023 г);;;;;;;;;53,3;20,7;50,7;14,9;22,7;47,6;32,8;;
Подзь;;;;;;17,8;19,1;23;20,8;14,3;12;22,9;19,6;28,7;14,2;13,4;
Ужга;;;;;;;;;19,4;13,3;27,6;23,9;29;27,9;21,4;20,4;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;18;17,5;19,5;18,6;18,3;16,8;17,6;17,5;16,6;16,3;16,1;15,5;16,6;22,2;17,1;16,3;
Сельское поселение;;;;;;;;;;;;;;;;;;
Богородск;;;;;;20,3;13;16,9;9,5;21;20,5;12;18,4;30,8;16,6;16;
Большелуг;;;;;;19,6;15,7;25,8;23,6;17,7;11,6;16,3;20,2;27,5;15,1;9,5;
Вомын;;;;;;;;;20,4;14,7;32,8;6,6;20,1;32,2;5,4;10,8;
Додзь;;;;;;;;;9,8;16;16,4;16,5;9,1;13;15;7,9;
Керес;;;;;;;;;20,4;19,7;31,5;16,2;22;21;29,2;31;
Корткерос;;;;;;10,7;11;11,1;8,6;12,6;10,8;11,7;10,6;13,1;15,2;13;
Намск;;;;;;;;;11,3;21;19,3;32,3;15,2;28,9;18;14;
Маджа;;;;;;;;;17,7;12,3;22;16;29,4;37,3;21,6;16,5;
Мордино;;;;;;22;22,6;18;28,2;18,1;27;21,8;32,6;30,4;19,2;28,5;
Нёбдино;;;;;;;;;5,4;3,6;19,7;14,2;12,3;14,3;3,2;3,2;
Нившера;;;;;;12,3;24,2;17,5;23,3;18,3;13,7;15,5;20;28;24,7;14,8;
Пезмег;;;;;;13,8;23,4;10,3;22,4;16,1;22,1;11,6;16,7;15,1;13,1;16,6;
Подъельск;;;;;;;;;20,4;22,4;14,3;14,6;12,7;29,6;20,8;13,6;
Подтыбок;;;;;;15,6;24,6;18,4;24,9;22,7;11,6;18,3;24,1;25,3;22,3;24,6;
Позтыкерес;;;;;;;;;13,8;28,6;11,3;27;11,6;23,9;17;27,8;
Приозёрный;;;;;;;;;18,5;17,4;17,2;17,8;23;43;14;31,7;
Сторожевск;;;;;;20,6;19,5;20,9;16,9;15,3;13,8;20,5;15;21,6;25,1;23,1;
Усть-Лэкчим;;;;;;;;;29;15,7;13,1;16,2;16,4;46,2;17,3;12,9;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Печора;15,8;16;15,4;13,6;15,3;14,5;13,7;13,6;15;13,6;14,2;15;17,4;21,1;17,7;16,5;
Городское поселение;;;;;;;;;;;;;;;;;;
Печора;14,9;14,9;14,6;12,8;14,8;14,2;12,9;12,6;14;13;13,4;13,9;16,3;19,8;16,4;16,3;
Кожва;;;;;;15,5;16;17,6;16,8;15,1;15,7;18,2;22,2;25,8;24,6;17,6;
Путеец;;;;;;13,1;14,1;9,4;15,3;9,9;10,9;13,7;13,7;17,4;17,5;11,1;
Сельское поселение;;;;;;;;;;;;;;;;;;
Каджером;;;;;;14,8;13;19,1;22,6;18,4;21,8;25;21,9;32,2;22,5;18;
Озёрный;;;;;;18,6;19,5;16,9;14,7;16,5;21,7;19,7;24,2;31,3;28,9;28,3;
Приуральское;;;;;;;;;28,5;22,1;23,3;19,8;25,4;23,2;32,3;16,9;
Чикшино;;;;;;;;;27,9;30,3;17,1;29,4;41,3;29,7;9,5;24;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Прилузский;18,9;18;18,1;18,4;19,2;16,8;16,9;18,3;17,6;17,8;17,1;16,6;18,3;20,2;18,2;18,6;
Сельское поселение;;;;;;;;;;;;;;;;;;
Вухтым;;;;;;27,4;17,2;13,4;10,5;21,8;20,3;18,4;17,6;15,6;15,7;21;
Гурьевка;;;;;;;;;30,6;10,7;23,8;20,4;18,8;25;15,5;34,4;
Занулье;;;;;;;;;10,3;32,3;32,6;33,3;34,1;23,3;22,9;17,1;
Летка;;;;;;14,6;17,2;14,4;16,7;14,8;19;18,4;16,7;16;14,7;15,8;
Лойма;;;;;;12,9;18,9;13,3;20,5;20,3;12,9;25,5;21,2;29,6;33,5;19,8;
Мутница;;;;;;;;;21,4;18,1;18,8;26;22,3;23,2;22,8;17,1;
Ношуль;;;;;;15,3;11,6;19,7;13,5;18,4;20,7;19,9;23,7;19,4;23,3;23,1;
Объячево;;;;;;13,5;14,2;14,2;14,9;14,7;13,4;11,4;13,8;18,8;16,5;15,5;
Прокопьевка;;;;;;;;;40;28,4;22,6;47,6;58,3;26,1;24;41;
Слудка.;;;;;;;;;10,6;33,6;15;28,1;12,6;32,1;15,5;29,3;
Спаспоруб;;;;;;;;;25,4;10,8;16,4;14,1;13;22,1;21,5;15,9;
Черёмуховка;;;;;;20,2;26,7;28,8;27,3;33,2;28,8;22,4;39,8;30,3;19,4;29;
Чёрныш (до 1 января 2021 года);;;;;;;;;10,3;29,8;12,7;11,2;17,2;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;14,6;14;15,2;14,4;14;13;13,6;14,9;13,9;14,3;12,3;13,3;14,9;18,2;17,1;16,1;
Городское поселение;;;;;;;;;;;;;;;;;;
Сосногорск;;;;;;12,7;13,2;14,1;13,3;13,9;11,6;13;14,3;17,3;16,7;16,3;
Войвож;;;;;;13,7;20,7;20,5;21;21,7;17,5;17,1;18;25,5;26,9;24,6;
Нижний Одес;;;;;;13,9;12,9;15,7;14,1;13,3;13,4;13,3;16;19,2;16,1;13,4;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;15,6;14;15,5;13,3;12,1;11,6;14;12,8;13,4;12,2;11,8;11,5;13,6;14,6;14,6;14;
Сельское поселение;;;;;;;;;;;;;;;;;;
Выльгорт;;;;;;8,5;10,5;9,8;9,5;9,2;9;7,6;11,1;10,7;11,3;10,9;
Зеленец;;;;;;8,6;12,3;13,1;13,7;10,5;12;11,8;15,2;16,4;11,7;12,9;
Лэзым;;;;;;;;;29,9;21,5;12,6;6;11,6;9,4;15;11,2;
Мандач;;;;;;;;;24,4;37;52,6;57,7;47,9;28,2;30,7;53,7;
Нювчим;;;;;;;;;20,8;29,2;32,9;25;16,6;25,5;21,3;25,9;
Озёл;;;;;;;;;27,1;28,8;12,8;17,4;17,6;4,5;48,1;31,3;
Пажга;;;;;;14;13,5;15,1;13,4;14,7;11,8;14,6;15,2;17,2;16,8;11,5;
Палевицы;;;;;;11,1;23,3;13;13,1;17,9;12,9;11,2;14,3;26,3;21,9;20,2;
Слудка;;;;;;;;;29,8;16,8;17,2;22,8;27;26,6;31,9;20,7;
Часово;;;;;;11,4;15,3;11,5;10,6;5,8;10,7;10;12,2;13,3;21,8;15;
Шошка;;;;;;;;;24,6;26,7;15,1;21,2;11,5;17;19,7;18,5;
Ыб;;;;;;;;;23,6;11,9;14,5;19,5;20,9;18,7;14,3;25;
Яснэг;;;;;;15,2;21,3;26,9;20,3;17,2;22,4;25,8;20;34,3;21,4;24,5;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Сысольский;20,5;23,2;17;17,6;14,2;18;17,5;17,5;17,7;15,3;16,2;16,8;18,4;23,7;17,7;18,8;
Сельское поселение;;;;;;;;;;;;;;;;;;
Визинга;;;;;;12,6;13,1;12,7;13,9;12;12,2;12,5;15,2;18,2;13;13,6;
Визиндор;;;;;;;;;26,8;14,7;21,5;24;19,8;30;18,3;28,9;
Вотча;;;;;;;;;17,2;48,2;19,5;39,7;13,2;87,6;53,9;36,1;
Гагшор;;;;;;;;;30,4;23,2;21,1;16,3;33,9;33,2;22,3;19,9;
Заозерье;;;;;;;;;30,9;27,5;38,9;34,5;33,9;56;45,2;49,5;
Куниб;;;;;;21,2;29,4;31,4;22,5;25,6;22,7;21,2;26,1;33;20,5;27,4;
Куратово;;;;;;;;;18,5;13,9;32,1;27,5;25,2;21,6;37,8;28,4;
Межадор;;;;;;;;;13;11,5;11,8;15,2;9,3;19,2;8,5;25,6;
Палауз;;;;;;;;;17,2;11,5;6;19;32,7;20,5;22,7;15,4;
Пыёлдино;;;;;;;;;21,2;9,1;9,5;13,7;15,8;19,9;23,5;17,9;
Чухлэм;;;;;;;;;23,9;16,9;13,7;22,1;18,3;33,3;20,9;14,2;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Троицко-Печорский;21,8;19,5;16,9;17,9;16;18,6;17,4;17,7;15,8;18,1;17,5;20,6;21;25,6;21;19,3;
Городское поселение;;;;;;;;;;;;;;;;;;
Троицко-Печорск;;;;;;17,1;15,7;16,3;14,8;15,7;14,9;18,9;20,3;21,8;19,3;17,4;
Сельское поселение;;;;;;;;;;;;;;;;;;
Приуральский;;;;;;;;;21,3;11,9;28,7;17,1;10,9;20,2;21,5;27,6;
Знаменка;;;;;;;;;11,5;12,3;22,7;24,6;36,6;21,7;44,1;32,3;
Комсомольск-на-Печоре;;;;;;;;;11;20,3;5,2;11,9;20,4;28,1;33,8;16,9;
Куръя;;;;;;;;;;19,4;54,3;11,8;62,5;;33,3;46,5;
Митрофан-Дикост;;;;;;;;;24,4;52,6;29,3;46,6;19,2;32,3;26,3;40;
Мылва;;;;;;;;;18,7;23,4;12,7;20,4;19,3;27,1;11,3;18,3;
Нижняя Омра;;;;;;;;;17,3;22,7;28,8;42,4;23,4;34,4;16,9;15,7;
Покча;;;;;;;;;24,1;13,8;33,5;17,5;20,6;37,8;20,9;37;
Усть-Илыч;;;;;;;;;15,5;25,3;24,5;31,1;40,9;42,7;12,3;26,7;
Якша;;;;;;;;;15,8;16,3;15,5;14,4;15,9;36,6;34;13,3;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Удорский;15,1;13,5;13,5;13,1;11,9;14,2;13,3;12,8;11,3;14,5;15,2;12;13,8;18,5;17,4;17,1;
Городское поселение;;;;;;;;;;;;;;;;;;
Благоево;;;;;;14,8;15,3;11,8;9,4;11,6;16,1;15,3;17,6;19,1;16,8;15;
Междуреченск;;;;;;9;9,3;14,2;12,9;10,6;14,2;7,7;9,6;15,2;8,3;18,1;
Усогорск;;;;;;12;9,5;10,6;11,7;12,3;12,3;10,2;10,5;15,3;12,2;9,8;
Сельское поселение;;;;;;;;;;;;;;;;;;
Буткан;;;;;;;;;30,7;33,3;40,8;10,8;33,3;35,5;35,5;46,5;
Важгорт;;;;;;;;;18,1;14,8;28,9;12,1;26,9;25,5;20,1;31,4;
Вожский;;;;;;1;2,4;0,8;1,2;1,6;2,1;1,7;0,8;3,4;31,3;26,1;
Глотово;;;;;;;;;23;23,1;23,2;26,9;24,7;28,4;26,1;24;
Ёдва;;;;;;5;5,8;3,7;6,9;7,9;3,3;3,4;8,6;8;47,4;35,7;
Ёртом (до 1 января 2018г);;;;;;;;;4;;;;;;;;
Кослан;;;;;;25,5;21;20,9;14,8;23,1;20,9;17,1;24,5;30,3;20;22,5;
Большая Пучкома;;;;;;;;;24,6;42,4;44,2;29,4;78,7;74,1;41,7;56,2;
Большая Пысса;;;;;;;;;12,4;33,2;37,9;41,1;27,9;38,8;29,1;26,6;
Чернутьево;;;;;;;;;24,4;26,3;41,3;28,4;17,8;62,1;35,6;23,9;
Чим;;;;;;;;;16,6;22,9;24,3;22,2;3,2;20,6;19,6;27,9;
Чупрово;;;;;;;;;29,7;62,8;69;44,6;49,3;77,5;47,6;44,8;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;16,1;15,7;15,5;15,8;15,8;14,1;17;16,3;16,5;15;16,1;15,8;17,8;20,7;14,8;15,8;
Городское поселение;;;;;;;;;;;;;;;;;;
Микунь;;;;;;10,8;12,4;15,2;12,4;10,8;12,9;12;13,2;15,7;13,2;13,7;
Жешарт;;;;;;14,5;16,8;15,2;19,2;16,7;16;15,5;18,5;24,2;16,2;16,7;
Сельское поселение;;;;;;;;;;;;;;;;;;
Айкино;;;;;;18,5;23,8;17,3;18,8;16,8;19,9;21,7;16,5;24,6;12,3;16,1;
Вежайка;;;;;;;;;7,6;13,2;10,8;2,7;8,4;2,9;20,4;50;
Гам;;;;;;;;;10,1;17,6;13,5;18,6;24,4;20,2;18,3;21,8;
Донаёль;;;;;;;;;26,8;25;13;24;19;16,7;23,6;28,2;
Илья-Шор;;;;;;;;;31,3;17,1;20;17,8;30,9;21,2;23,2;13,4;
Кожмудор;;;;;;;;;23,7;20,6;25;21,9;38,5;31,6;12,7;10,9;
Мадмас;;;;;;;;;24;26,1;22,2;18,2;26,6;29,3;13,4;18,1;
Межег;;;;;;;;;17,3;13,1;22,6;24,8;26,7;27,3;22;17,4;
Студенец;;;;;;;;;29,1;18,9;29,2;30,1;30,9;25,4;17,2;14,4;
Усть-Вымь;;;;;;;;;8,8;19,8;15,9;17,4;22,4;17,9;15,3;22,9;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;16,6;18,7;19,8;18,9;18,6;17,3;17,7;17,3;18,3;17,6;15,9;16,5;17,9;18,3;17,7;18,5;
Сельское поселение;;;;;;;;;;;;;;;;;;
Аныб (до 1 января 2018г);;;;;;;;;30,1;;;;;;;;
Вольдино;;;;;;;;;15,8;19,2;8;17,3;15,2;17,9;18,7;3,8;
Нижний Воч;;;;;;;;;22,1;20,5;20,6;13,6;11,8;15,7;12,6;18,4;
Диасёръя;;;;;;;;;9,4;24;22,1;17,5;17,7;25,4;9,9;17,4;
Деревянск;;;;;;;;;20,5;31,6;17,8;29,1;37;16,5;21,8;27,4;
Дзёль (до 1 января 2020 года);;;;;;;;;18,8;19,6;50,4;;;;;;
Дон;;;;;;;;;22,6;18,4;15,8;22;14,8;16,4;12,8;13,2;
Кебанъёль;;;;;;13;18,1;15,7;17,1;10,7;7,6;11,6;15,8;14,8;16,9;14,9;
Керчомъя;;;;;;;;;33;25,9;14,5;23,5;21,4;12,9;26;31,4;
Кужба;;;;;;15,5;14,6;12,9;13,1;13,2;10,2;16,4;12,5;17,9;13,1;16,3;
Мыёлдино;;;;;;;;;18,3;22,2;34,5;21,1;28,1;33,3;20,4;53,2;
Носим (до 1 января 2018г);;;;;;;;;23,6;;;;;;;;
Парч;;;;;;;;;29,9;21,1;33,6;8,4;8,4;16,9;5,1;15,9;
Пожег;;;;;;17,2;21;18,2;17;13,1;16;18,3;12,9;22,1;17,1;19,6;
Помоздино;;;;;;12,7;14,7;16,1;15,9;23;15,3;11,3;13,1;18,3;13,2;15,1;
Зимстан;;;;;;21,5;25;12,7;24,5;18,8;15,9;11,4;24;16,9;23,2;20,7;
Руч;;;;;;;;;15,4;15,3;14,4;24,8;19,2;30,5;34,5;35,5;
Тимшер;;;;;;16,2;16,7;19,7;20,3;15;19,9;24,2;27,4;26,5;24,7;23,7;
Усть-Кулом;;;;;;15,3;12,8;14,8;14,8;12,1;17;14,6;18,6;15,9;16,8;15,1;
Усть-Нем;;;;;;;;;21,4;20,3;12,1;13,9;14,1;28,9;12,2;26,7;
Югыдъяг;;;;;;11,5;16,8;16,3;18,3;18,3;14,8;20,4;18,5;14,8;19;19,4;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;16,9;14,8;17,6;15,4;15,6;15,2;14,7;13,9;15,2;16,3;16,5;18,3;16,3;17,6;17,7;17,6;
Сельское поселение;;;;;;;;;;;;;;;;;;
Среднее Бугаево;;;;;;;;;23,2;31;14,7;42,1;15,7;20,2;37,8;39,5;
Ёрмица;;;;;;;;;12,5;16;10,1;21,3;25,5;41,8;12,1;12,1;
Коровий Ручей;;;;;;12,8;12,3;9,5;12,9;12,1;10,9;15,4;11,8;10,9;11,9;20,1;
Нерица;;;;;;;;;4,7;27,6;22,8;18,5;19;9,8;30,9;26,8;
Новый Бор;;;;;;;;;21,1;17,9;15,4;18,5;23,2;20,8;13,8;24,9;
Окунев Нос;;;;;;;;;14,8;13,3;17,6;21,7;13,8;25,7;21,6;20,2;
Замежная;;;;;;16,4;14,7;15,9;13,3;15;18,9;24,6;11;27,9;23,3;20,5;
Уег;;;;;;;;;19,1;40,8;21,3;43,2;45,5;16,4;36,7;19,4;
Усть-Цильма;;;;;;14,5;13;12,5;16;14,1;15,9;13,9;15;14;15,3;12,6;
Хабариха;;;;;;;;;17,2;11,7;29,5;20,4;5,8;14,8;21,8;19,5;
Трусово;;;;;;21,5;14,5;19,1;13,1;25,3;20,1;21,5;28,3;20,7;22,3;23,1;
Городские округа Республики Коми;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;;;;;;
Сыктывкар;11;11;10,8;10,2;9,7;10;10,1;10,4;10,2;9,6;10;9,8;11,8;14,4;12,3;11,2;
Воркута (до 1 января 2025 года);9,3;10,5;10,6;9,7;10,1;10;10;9,5;10;9,3;9,9;9,7;11,2;12,8;10,7;9,9;
Вуктыл (до 1 января 2024 года);;;;;;;;;;13,6;14,7;14,1;18,3;17,2;17,9;15,7;
Инта (до 1 января 2025 года);13,6;14,8;14;12,6;14,1;13;14,1;15,7;15;14,9;14,4;13,8;15,8;20;19,3;16,5;
Усинск (до 1 января 2024 года);8,9;8,8;8,1;9;8,7;8,7;8,3;8,5;8,8;8;8,7;8,1;9,4;10,2;9,8;9,4;
Ухта (до 1 марта 2024 года);12;12,3;11;10,7;11,3;10,7;11,1;11,6;11,1;10,3;10,4;11,3;12;15,3;14;12,9;
Естественный прирост (убыль), человек;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;49;0;0;-5;-24;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;
Вуктыл (до 1 января 2017 года);;;;;59;18;21;11;15;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;
Дутово (до 1 января 2017 года);;;;;-2;-17;-21;-12;-17;;;;;;;;
Лемтыбож (до 1 января 2017 года);;;;;-3;5;2;0;-3;;;;;;;;
