
значение показателя за год
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Усть-Нем;;;;10;9;17;9;10;9;9;7;5;5;8;3;4;
Югыдъяг;;;;57;65;73;64;42;39;52;25;33;23;24;34;23;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;220;192;205;206;211;185;187;177;157;157;123;125;117;113;94;119;
Сельское поселение;;;;;;;;;;;;;;;;;;
Среднее Бугаево;;;;3;8;5;7;3;3;4;7;2;4;0;2;2;
Ёрмица;;;;5;8;8;8;4;4;3;1;2;1;3;3;3;
Коровий Ручей;;;;18;22;19;21;16;20;11;18;8;11;20;14;18;
Нерица;;;;6;8;5;2;2;7;2;4;1;3;2;1;3;
Новый Бор;;;;9;11;15;6;10;8;8;12;4;8;6;4;4;
Окунев Нос;;;;8;10;6;9;8;7;5;6;5;1;4;5;5;
Замежная;;;;35;23;18;26;19;17;20;11;21;21;15;12;13;
Уег;;;;5;4;2;5;5;3;1;1;3;1;2;0;0;
Усть-Цильма;;;;89;75;85;80;97;72;86;49;66;57;54;43;61;
Хабариха;;;;8;10;5;5;6;6;4;4;3;0;0;2;2;
Трусово;;;;20;32;17;18;7;10;13;10;10;10;7;8;8;
Городские округа Республики Коми;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;;;;;;
Сыктывкар;2873;3063;3236;3154;3387;3494;3457;3764;3635;3106;2698;2486;2498;2396;2110;2135;
Воркута (до 1 января 2025 года);1117;1183;1101;1098;1190;1168;1140;1080;879;835;801;634;636;593;508;514;
Вуктыл (до 1 января 2024 года);;;;;;;;;;138;108;89;90;99;75;67;
Инта (до 1 января 2025 года);417;391;399;380;379;350;328;331;275;258;237;189;154;157;144;132;
Усинск (до 1 января 2024 года);646;679;671;687;671;705;674;650;624;547;500;459;426;401;401;370;
Ухта (до 1 марта 2024 года);1457;1376;1447;1336;1411;1433;1456;1428;1384;1202;1025;1052;941;901;810;797;
Число умерших, человек;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);241;224;210;183;150;173;166;169;186;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;
Вуктыл (до 1 января 2017 года);173;154;136;137;108;124;111;126;126;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;
Дутово (до 1 января 2017 года);;;;19;15;31;32;26;28;;;;;;;;
Лемтыбож (до 1 января 2017 года);;;;4;6;2;3;2;5;;;;;;;;
Подчерье (до 1 января 2017 года);;;;16;16;13;15;14;23;;;;;;;;
Усть-Соплеск (до 1 января 2017 года);;;;7;5;3;5;1;4;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;369;364;385;346;298;252;282;262;284;276;268;273;291;323;266;290;
Сельское поселение;;;;;;;;;;;;;;;;;;
Брыкаланск;;;;16;15;11;9;7;13;7;14;15;18;23;16;19;
Ижма;;;;80;40;35;61;40;52;56;51;35;46;60;50;47;
Том;;;;26;26;15;30;22;21;26;17;26;21;23;23;25;
Кельчиюр;;;;21;31;19;21;23;21;21;24;30;17;27;14;26;
Кипиево;;;;20;13;16;14;23;15;15;18;9;15;18;16;12;
Краснобор;;;;34;23;32;37;26;37;26;31;31;32;37;33;36;
Мохча;;;;25;43;32;26;35;27;30;37;22;38;48;30;35;
Няшабож;;;;21;17;13;18;11;10;15;12;15;15;10;10;15;
Сизябск;;;;50;36;36;23;28;34;33;27;38;36;31;31;32;
Щельяюр;;;;53;54;43;43;47;54;47;37;52;53;46;43;43;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);417;417;402;363;318;313;330;271;317;290;257;280;285;311;272;249;
Городское поселение;;;;;;;;;;;;;;;;;;
Емва;;;;233;210;221;212;187;198;197;188;186;196;210;181;179;
Синдор;;;;18;16;14;15;16;20;18;12;33;16;24;27;18;
Сельское поселение;;;;;;;;;;;;;;;;;;
Ветью (до 1 января 2018г);;;;5;2;1;6;0;1;3;;;;;;;
Вожаёль (до 1 января 2013 года);;;;8;8;;;;;;;;;;;;
Иоссер;;;;8;12;9;6;6;7;8;3;4;4;6;2;2;
Княжпогост (до 1 января 2013 года);;;;4;5;;;;;;;;;;;;
Мещура;;;;11;14;6;14;2;7;4;4;4;9;11;9;5;
Серёгово;;;;20;14;12;24;15;26;13;10;10;11;19;17;13;
Тракт;;;;24;17;25;34;28;34;22;22;15;22;22;19;14;
Туръя;;;;11;4;6;5;4;2;5;10;9;6;8;2;5;
Чиньяворык;;;;12;10;12;8;5;9;12;3;11;7;5;10;5;
Шошка.;;;;9;6;7;6;8;13;8;5;8;14;6;5;8;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;173;139;146;152;155;122;112;142;134;102;118;118;116;151;124;98;
Сельское поселение;;;;;;;;;;;;;;;;;;
Грива;;;;8;4;2;7;7;5;5;5;8;6;4;4;5;
Кажым;;;;25;13;12;10;15;16;15;15;17;17;14;18;8;
Койгородок;;;;48;42;42;29;43;43;31;43;31;31;53;36;35;
Койдин;;;;24;26;16;18;22;16;13;9;11;16;23;25;15;
Ком ( до 1 января 2020 года);;;;7;9;1;3;2;2;6;5;3;0;;;;
Кузьёль;;;;1;3;7;6;7;7;5;5;9;8;9;8;5;
Нижний Турунъю (до 1 января 2017г);;;;4;3;4;2;0;1;;;;;;;;
Нючпас (до 1 января 2023 г);;;;7;5;3;4;3;8;3;7;2;3;6;2;;
Подзь;;;;19;22;22;23;27;24;16;13;24;20;28;16;15;
Ужга;;;;9;28;13;10;16;12;8;16;13;15;14;15;15;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;376;358;387;361;351;323;335;330;310;301;293;279;296;390;320;300;
Сельское поселение;;;;;;;;;;;;;;;;;;
Богородск;;;;22;25;22;14;18;10;22;21;12;18;29;17;16;
Большелуг;;;;18;24;20;16;26;23;17;11;15;18;24;16;10;
Вомын;;;;12;16;8;8;12;10;7;15;3;9;14;3;6;
Додзь;;;;17;16;14;7;25;9;15;14;16;9;13;17;9;
Керес;;;;13;19;23;15;13;13;12;18;9;12;11;14;14;
Корткерос;;;;54;52;49;51;52;41;62;54;59;54;67;72;62;
Намск;;;;9;10;8;9;3;5;9;8;13;6;11;8;6;
Маджа;;;;5;7;10;8;6;6;4;7;5;9;11;8;6;
