
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
;;5;5;3;4;7;7;10;10;11;14;;;;;;;;
прачечные;;;;;;;;;;;;;;;;;;;
Установленная мощность в 8-часовую смену организаций бытового обслуживания населения, килограмм;;;;;;;;;;;;;;;;;;;
;22;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
Кажым;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;1;1;;;;;;
Услуги парикмахерских;;;;;;;;;;;;1;1;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;;;;;1;1;1;1;1;1;;;;;;;;
Койгородок;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;2;3;3;3;4;3;3;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;14;15;15;15;16;14;15;
Ремонт, окраска и пошив обуви;;;;;;;;;;;;1;0;0;;;;;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;2;2;2;2;1;;1;
Изготовление и ремонт мебели;;;;;;;;;;;;;1;1;;;;;
Химическая чистка и крашение, услуги прачечных;;;;;;;;;;;;1;1;1;1;1;1;1;
Услуги бань и душевых;;;;;;;;;;;;1;1;1;1;1;1;;
Услуги парикмахерских;;;;;;;;;;;;5;5;5;6;6;6;7;
Услуги фотоателье;;;;;;;;;;;;1;1;1;1;1;1;1;
Ритуальные услуги;;;;;;;;;;;;1;1;1;1;1;1;1;
Прочие виды бытовых услуг;;;;;;;;;;;;;;;;1;1;1;
Единовременная вместимость бань и душевых, место;;;;;;;;;;;;;;;;;;;
;15;15;16;16;16;16;16;16;16;16;16;;;;;;;;
Установленная мощность в 8-часовую смену прачечных, килограмм сухого белья, килограмм;;;;;;;;;;;;;;;;;;;
;;22;19;14;19;28;28;28;;;;;;;;;;;
Число кресел в парикмахерских, единица, единица;;;;;;;;;;;;;;;;;;;
;;5;5;3;4;5;5;7;7;7;8;;;;;;;;
прачечные;;;;;;;;;;;;;;;;;;;
Установленная мощность в 8-часовую смену организаций бытового обслуживания населения, килограмм;;;;;;;;;;;;;;;;;;;
;22;;;;;;;;;;;;;;;;;;
Койдин;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Число объектов бытового обслуживания населения, оказывающих услуги (по okpd2), единица;;;;;;;;;;;;;;;;;;;
Техническое обслуживание и ремонт транспортных средств, машин и оборудования;;;;;;;;;;;;;;;;;1;1;
Число объектов бытового обслуживания населения, оказывающих услуги;;;;;;;;;;;;1;1;1;2;3;4;4;
Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;;;;;;;;;;;;;;;;1;1;;
Изготовление и ремонт мебели;;;;;;;;;;;;;;;1;1;1;1;
